id,goals,assists,cleansheets,influence,creativity,threat,ict,minutes,gw
523,0,0,0,0.0,0.0,0.0,0.0,0,7
524,0,0,0,0.0,0.0,0.0,0.0,0,7
525,0,0,0,0.0,13.3,10.0,2.2,70,7
527,0,0,0,0.0,0.0,0.0,0.0,0,7
528,0,1,0,23.6,21.9,21.0,6.7,56,7
533,0,0,0,0.0,0.0,0.0,0.0,0,7
537,0,0,0,8.4,6.5,22.0,3.7,90,7
539,0,0,0,0.0,0.0,0.0,0.0,0,7
540,0,0,0,0.0,0.0,0.0,0.0,0,7
541,0,1,0,31.8,30.0,41.0,10.3,79,7
11,1,0,0,42.2,25.7,19.0,8.7,90,7
12,0,0,0,0.0,0.0,0.0,0.0,0,7
13,0,0,0,0.0,0.0,0.0,0.0,0,7
26,0,0,0,0.0,0.0,0.0,0.0,0,7
44,0,0,0,0.0,0.1,1.0,0.0,11,7
45,0,0,0,0.0,0.0,0.0,0.0,0,7
46,0,0,0,0.0,0.0,0.0,0.0,0,7
67,1,0,0,46.6,12.3,84.0,14.3,90,7
68,1,1,0,58.2,17.0,37.0,11.2,90,7
69,0,0,0,2.8,2.4,26.0,3.1,90,7
70,0,0,0,0.0,1.7,2.0,0.4,30,7
71,0,0,0,0.0,0.0,0.0,0.0,0,7
90,0,0,0,2.0,10.8,6.0,1.9,82,7
91,1,0,0,33.6,1.3,37.0,7.2,90,7
92,0,0,0,0.0,0.0,0.0,0.0,0,7
110,0,0,0,0.0,0.0,0.0,0.0,0,7
129,0,0,0,0.0,0.0,0.0,0.0,0,7
130,0,0,0,0.0,0.0,0.0,0.0,0,7
146,0,0,0,0.0,0.0,0.0,0.0,0,7
147,1,0,0,34.2,1.7,57.0,9.3,90,7
166,2,0,1,64.4,12.8,64.0,14.1,90,7
167,0,0,0,0.0,0.0,0.0,0.0,0,7
187,0,0,1,3.6,14.9,10.0,2.9,86,7
188,0,0,0,6.4,16.5,8.0,3.1,26,7
210,0,1,0,0.0,2.8,7.0,0.9,24,7
211,1,0,0,30.4,6.7,59.0,9.6,65,7
232,0,0,0,0.0,0.0,0.0,0.0,0,7
233,0,1,0,20.4,23.1,38.0,8.2,90,7
234,0,0,0,0.0,0.9,5.0,0.3,16,7
260,0,0,0,0.0,0.3,0.0,0.0,45,7
261,0,0,0,0.0,0.0,0.0,0.0,0,7
278,0,0,0,12.4,33.0,33.0,7.8,90,7
279,0,0,0,0.0,0.0,0.0,0.0,0,7
298,0,0,0,0.0,0.0,0.0,0.0,0,7
303,0,0,0,0.0,0.0,0.0,0.0,0,7
312,0,0,0,0.0,0.0,0.0,0.0,0,7
313,1,0,0,41.4,12.6,45.0,9.9,82,7
314,0,0,0,0.0,0.0,0.0,0.0,7,7
315,0,0,0,0.0,0.0,0.0,0.0,2,7
316,0,0,0,0.0,0.0,0.0,0.0,0,7
338,1,0,0,37.2,1.3,31.0,7.0,90,7
339,0,0,0,0.0,0.0,0.0,0.0,0,7
362,0,0,0,0.0,0.0,0.0,0.0,0,7
363,0,0,0,3.6,12.9,12.0,2.9,45,7
364,0,0,0,7.6,10.9,50.0,6.9,19,7
365,0,0,0,0.0,0.0,0.0,0.0,0,7
385,0,0,0,0.0,0.0,0.0,0.0,0,7
386,0,0,0,0.0,0.0,0.0,0.0,0,7
387,0,0,0,0.0,0.0,0.0,0.0,0,7
409,0,0,1,0.0,12.0,13.0,2.4,79,7
410,0,0,0,0.0,0.0,0.0,0.0,0,7
428,0,0,0,0.0,12.2,4.0,1.4,87,7
434,0,0,0,0.0,0.1,10.0,0.9,24,7
437,0,0,0,0.0,0.0,0.0,0.0,0,7
451,1,0,0,35.0,10.3,19.0,6.4,45,7
457,0,1,0,26.8,44.1,78.0,14.9,90,7
460,0,0,1,13.2,28.3,77.0,11.9,83,7
461,0,0,0,0.0,0.1,8.0,0.8,6,7
464,0,0,0,0.0,0.0,0.0,0.0,0,7
