,id,fixture_id,G,A,CS,gw,MP,I,C,T,ICT,team,opp,home,opp_att,opp_def,att,def,Sh90,KP90
117,19.0,67,0.0,0.0,0.0,7.0,54.0,2.6,5.3,6.0,1.4,1.0,12.0,False,1270.0,1280.0,1190.0,1330.0,1.58,0.0
118,21.0,67,0.0,0.0,0.0,7.0,90.0,19.6,4.5,17.0,4.1,1.0,12.0,False,1270.0,1280.0,1190.0,1330.0,1.0,0.0
119,469.0,67,0.0,0.0,0.0,7.0,35.0,3.6,2.2,10.0,1.6,1.0,12.0,False,1270.0,1280.0,1190.0,1330.0,2.73,0.0
120,488.0,67,0.0,0.0,0.0,7.0,73.0,2.8,6.0,23.0,3.2,1.0,12.0,False,1270.0,1280.0,1190.0,1330.0,2.37,0.0
121,489.0,67,0.0,0.0,0.0,7.0,16.0,5.2,8.8,7.0,2.1,1.0,12.0,False,1270.0,1280.0,1190.0,1330.0,6.43,0.0
122,490.0,67,0.0,0.0,0.0,7.0,10.0,8.0,21.0,4.0,3.3,1.0,12.0,False,1270.0,1280.0,1190.0,1330.0,0.0,22.5
123,11.0,67,1.0,0.0,0.0,7.0,90.0,42.2,25.7,19.0,8.7,1.0,12.0,False,1270.0,1280.0,1190.0,1330.0,1.0,2.0
124,541.0,67,0.0,1.0,0.0,7.0,79.0,31.8,30.0,41.0,10.3,1.0,12.0,False,1270.0,1280.0,1190.0,1330.0,2.2,2.2
125,14.0,201,0.0,0.0,1.0,21.0,90.0,35.8,0.0,0.0,3.6,1.0,12.0,True,1310.0,1340.0,1150.0,1280.0,0.0,0.0
126,3.0,201,0.0,0.0,1.0,21.0,68.0,1.8,3.1,6.0,1.1,1.0,12.0,True,1310.0,1340.0,1150.0,1280.0,0.0,0.0
127,4.0,201,0.0,0.0,1.0,21.0,90.0,20.8,2.3,2.0,2.5,1.0,12.0,True,1310.0,1340.0,1150.0,1280.0,0.0,0.0
128,5.0,201,1.0,0.0,1.0,21.0,90.0,56.0,0.2,33.0,8.9,1.0,12.0,True,1310.0,1340.0,1150.0,1280.0,1.0,0.0
129,106.0,201,0.0,0.0,1.0,21.0,90.0,24.4,0.3,0.0,2.5,1.0,12.0,True,1310.0,1340.0,1150.0,1280.0,0.0,0.0
130,15.0,201,0.0,0.0,1.0,21.0,90.0,7.6,17.8,0.0,2.5,1.0,12.0,True,1310.0,1340.0,1150.0,1280.0,0.0,1.0
131,18.0,201,0.0,0.0,1.0,21.0,90.0,14.2,7.3,0.0,2.2,1.0,12.0,True,1310.0,1340.0,1150.0,1280.0,0.0,0.0
132,19.0,201,0.0,0.0,1.0,21.0,90.0,9.8,2.2,4.0,1.6,1.0,12.0,True,1310.0,1340.0,1150.0,1280.0,1.0,0.0
133,21.0,201,0.0,0.0,0.0,21.0,8.0,0.6,0.3,0.0,0.1,1.0,12.0,True,1310.0,1340.0,1150.0,1280.0,0.0,0.0
134,488.0,201,1.0,0.0,1.0,21.0,61.0,48.4,53.6,26.0,12.8,1.0,12.0,True,1310.0,1340.0,1150.0,1280.0,2.86,5.71
135,489.0,201,0.0,0.0,0.0,21.0,28.0,0.8,0.5,20.0,2.1,1.0,12.0,True,1310.0,1340.0,1150.0,1280.0,3.33,0.0
136,11.0,201,0.0,0.0,1.0,21.0,90.0,9.6,18.9,16.0,4.5,1.0,12.0,True,1310.0,1340.0,1150.0,1280.0,1.0,1.0
137,12.0,201,0.0,0.0,1.0,21.0,81.0,10.8,26.8,50.0,8.8,1.0,12.0,True,1310.0,1340.0,1150.0,1280.0,3.25,2.17
138,541.0,201,0.0,0.0,0.0,21.0,21.0,6.6,0.8,17.0,2.4,1.0,12.0,True,1310.0,1340.0,1150.0,1280.0,4.5,0.0
139,14.0,71,0.0,0.0,1.0,8.0,90.0,15.0,0.0,0.0,1.5,1.0,3.0,True,1070.0,1180.0,1150.0,1280.0,0.0,0.0
140,3.0,71,0.0,0.0,1.0,8.0,90.0,8.4,2.0,0.0,1.0,1.0,3.0,True,1070.0,1180.0,1150.0,1280.0,0.0,0.0
